"","Time.taken","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","compfail","totalEarning","bonus_for_waiting","completionFee","totalPayment","soc","bias","useful","pQ1","pQ2","pQ3","pQ4","strategy","strategy_diff","feedback","date.y","group","blockOrder","confirmationID.y","agent"
"22616",1656,"30","Male","White","New Zealand","New Zealand","New Zealand","English","No","Full-Time",1,4.31,0.19,4.75,9.3,"early",4,4,"A","B","B","A","If another team member had a higher number in one of their cells, I would try that cell on my map, often getting a better result than my first pre-selected cell. I would then move in the same direction until it decreased, then check the opposite directions to try and find the local maximum for that area.","technical difficulties","Instructions were very clear, easy to follow. Thanks.","2023-7-19","55","S-I","5EOCSo1UpLnPrVDSAAAD",2
"23232",1970,"20","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",14,3.89,0.12,6.95,11,"consistent",4,4,"A","B","A","A","I would click each corner to see the concentration levels and make decsions based on that","I watched the other scientists between rounds to see what area they were exploring as opposed to clicking corners","The bonus payment was motivating however the game was really fun regardless","2023-7-20","34","I-S","nsRGQDNOs7Gf9EpsAAB9",3
"23472",1510,"29","Female","White","United States","United States","United States","English","No","Full-Time",0,4.31,0.08,6.95,11.3,"late",4,3,"A","A","B","B","I went to find the spots that had a lot of numbers in the 60's-80's and stayed in that range. I would keep clicking the ones in the high 70-80's to get my salt count up.","N/A. Strategy was the same.","Very fun study!","2023-7-20","16","I-S","AkEQ49QSmPHGLn62AAAJ",1
"23727",1741,"43","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",0,4.45,0.04,6.95,11.4,"early",4,4,"A","B","B","A","Use info from others if possible; search maximising total distance away from current known low value regions. Anything over ~65 can be good, search close by. Stick to a good score rather than searching an unknown area.","Same system, just starting with more information and gaining information faster.","","2023-7-20","4","S-I","jeYr8J_-xUEAYTOyAABt",3
"23967",1588,"35","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.2,0.04,6.95,10.2,"early",4,4,"A","B","B","A","I chose to go for diagonal squares to try and spread out a bit more to find the hotspots. When I felt that I found a hotspot I would then fill in the gaps between them","I kept an eye on what other people were doing to give me an idea of where I should focus my search. ","","2023-7-26","25","I-S","D04HdZ21UJ62a5OPAABZ",3
"24225",1778,"29","Male","Asian","United States","United States","Korea","English","No","Full-Time",1,2.92,0.04,6.95,9.9,"consistent",4,4,"A","B","B","A","I tried to find a number higher than 70 than I kept going after the same area. ","","","2023-7-20","45","I-S","9vUfjoNnPebLf8LmAAAV",3
"24465",1522,"21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.34,0.06,6.95,10.4,"none",0,1,"A","A","B","A","i would click around to see the areas with the dark patches and then find where the dark ones were","na","","2023-7-20","16","I-S","UO2wT9oZikgqqPyLAAAL",2
"24842",2347,"39","Female","White","United States","United States","United States","English","No","Full-Time",0,3.48,0.47,6.95,10.9,"early",4,3,"A","B","B","B","looked for common existence of salts from other scientists. When I was alone I simply took a guess. ","group looked as whats in common locations. Solo took a guess.","none","2023-7-20","50","S-I","UPlk8CBIrTDr7KiBAAAB",1
"25672",1735,"31","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",0,3.61,0.02,6.95,10.6,"early",4,4,"A","B","B","A","I generally looked to click 4 spots to have basic coverage/spread of the world. If a spot showed a high number, i would begin to focus there. ","My strategy was only different in the sense that I used the group's information on spread as my own. It basically saved me a day of my own, if I just used their information. ","everything went fine. Yes, the bonus was definitely motivating as the bonus was high (equal to the experiment). 

I also found this experiment to be quite fun. It being based on clicking and not typing was cool, and I enjoyed trying to get a high score. Great study!","2023-7-20","16","I-S","QXs8WT008arETbZKAAAP",4
"26086",2019,"45","Male","Mixed","United States","United States","United States","English","DATA_EXPIRED","Full-Time",2,4.31,0.08,6.95,11.3,"early",4,3,"A","B","B","A","I tried to locate a decent salt level and then explore to find which direction it was increasing and go that way. ","I used the findings of my group to locate the high concentration pockets. ","Everything was clear and the game was fun. No issues at all. ","2023-7-20","43","I-S","qneS4C1giDUNnb20AAAd",3
"26564",2015,"54","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.48,0.06,6.95,10.5,"early",4,2,"A","A","B","A","I would keep an eye on the other scientist's results, but usually select a square a few in from a corner, and if it was at least warm, explore around there. If cold, I would try another spot.","If solo, I would usually select a square a few in from a corner, and if it was at least warm, explore around there. If cold, I would try another spot. For group trips I would keep an eye on the others, just in case it could be useful.","All was clear and the bonus was great. It was very enjoyable thanks! Great fun! Good luck with the study!","2023-7-20","2","S-I","gQ8995wrIz3-zzXNAAAh",1
"26804",2123,"30","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",20,3.89,0.04,6.95,10.9,"early",1,4,"A","B","B","A","To find a node which has around 70 or higher and repeatedly select that one","It was different in the sense that I would look at how others were doing and try and find the best nodes from them","Thank you I struggled with two of the comprehension quests at the right side (the top 2 ones). I found it harder to find information on those and honestly I find that there didn't really need to be any for such a simple task","2023-7-20","0","I-S","2I2CGvoYIo23Cl_sAABZ",2
"27149",1717,"33","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",1,3.34,0.3,6.95,10.6,"consistent",4,3,"A","A","A","A","I would click near the starting box to find out which direction the highest saturation was. There was usually a pattern leading up to the correct area","I would see how team mates were strategizing and follow a similar pattern based on their results.","","2023-7-20","58","I-S","N1ydA04iiL6OYKnVAAAr",1
"27509",2081,"22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",1,3.48,0.02,4.75,8.3,"early",4,2,"A","B","B","A","My strategy was to try and find the clusters were the highest concentrations of salts were. So if I found a spot with a relatively high number, I would try and find the highest number that I could within this region.","technical difficulties","Thought this study was quite enjoyable. All the instructions were clear. ","2023-7-19","8","S-I","fcV5NXdmB3TR6E1SAAAP",4
"27779",1360,"30","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.89,0.02,6.95,10.9,"consistent",4,4,"A","B","B","A","I started by looking at the other scientists if possible, tried to explore an area and find the highest concentration, then keep hitting that area","Used the info when it was available to target specific areas","","2023-7-20","19","S-I","w9USUsBdhhVbUJdjAABn",4
"28019",1658,"29","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time",0,4.17,0.02,6.95,11.1,"consistent",4,3,"A","B","B","B","I tried looking for areas with high numbers and stuck to those pretty close","I would be watching others closely and seeing what their highest number was so I could start looking for one close to that on mine","I enjoyed this game","2023-7-20","0","I-S","d9qU8FU0iWYwbjt3AABb",3
"28580",1818,"24","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.03,0.24,6.95,11.2,"early",4,3,"A","B","B","A","for th escientists rounds, i'd try to get a clue early as possible where the high concetration was. for the individual rounds i'd aim at each corner of the map to see the best results","would tend to rely more on the other scientists whereas for individual rounds id 'experiment' more","very clear and bonus pay is always a good motivation for better results!","2023-7-26","25","I-S","al3WbLYMhPNhZ-nwAABV",1
"28820",1676,"32","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",1,2.92,0.13,4.75,7.8,"early",4,2,"A","B","B","B","I tried to check the corners for a high number and then work around that. My aim was always 50 or higher","technical difficulties","","2023-7-19","38","S-I","5iA4e_WyXiFXrlivAAAT",2
"29060",1647,"36","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2,3.34,0.02,6.95,10.3,"consistent",4,3,"A","B","B","A","I would usually click around until I, or one of my colleagues, found a medium to average concentration then concentrate on that area.","I would observe the other scientists and search simialr areas where they had found high concentrations.","","2023-7-20","4","S-I","3L8P1ROGxSIvnB64AABv",4
"29300",1719,"21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)",1,3.2,0.18,6.95,10.3,"early",4,3,"A","B","A","A","Creating blocks around high density areas","I looked at where others were finding high density areas","The bonus payment was motivating to do the best job I could. No issues ","2023-7-26","25","I-S","WZVv_EblsqfcNJowAABX",2
"29540",1854,"33","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.59,0.05,6.95,11.6,"early",4,4,"A","B","B","A","find a high yeild of salt around 60 or above, search around that area until i found the highest available then keep going back to thats same one","more searching blind in solo, whereas in group i used the others information","","2023-7-26","23","S-I","FbOfoNFgC3Gf-NlgAAAl",3
"29780",1720,"29","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.86,0.35,4.75,10,"early",4,3,"A","B","B","A","I looked for increases in salt concentration between cells. Then if any change in cells led to one decrease, I would try another, and if that also led to a decrease, I would remain at the highest scoring cell. ","technical difficulties","Instructions were clear, the task was enjoyable and the bonus payment was very motivating. I hope the findings are useful for you, and good luck with the work! ","2023-7-19","55","S-I","uHIe9jtio1DFHtxGAAAB",1
"30276",1763,"39","Female","Asian","United States","United States","United States","English","No","DATA_EXPIRED",0,3.2,0.03,6.95,10.2,"early",4,4,"A","B","B","B","I tried to find a spot that gave 50 or greater, and then explored around it.","I relied on the numbers that other players were getting to inform where I should search.","","2023-7-20","2","S-I","4TVbzhUf7Dkh0z4fAAAl",2
"30516",1739,"22","Male","White","United States","United States","Morocco","English","DATA_EXPIRED","DATA_EXPIRED",0,4.03,0.3,6.95,11.3,"early",4,2,"A","B","B","A","finding the area thats hot","if i wasnt finfing the hot spot i would look at other people and choose around them","","2023-7-20","36","I-S","vd-87q3881XJHHGDAAAp",1
"30756",1355,"37","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",0,2.64,0.07,6.95,9.7,"none",0,1,"A","A","B","A","i tried to follow the numbers ","","the instructions were clear and the game was enjoyable","2023-7-20","35","I-S","0uyAnEUb332RO91MAABx",1
"31108",2192,"49","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",1,4.17,0.1,6.95,11.2,"early",4,4,"A","B","B","B","Trying to find concentrations of salt and then judging which was near highest total and staying at that","Saw where concentrations were for others and then tried that general area if higher than my current ones","","2023-7-26","52","S-I","HM9AmOZgni4BSD-eAAAr",2
"31409",1570,"20","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other",0,3.06,0.02,6.95,10,"early",4,3,"A","B","A","B","I attempted to chose based on the starting block and try to map out the hotspot I had found","I incorporated the progress of other researchers and attempted to clump my spots together so that they would hopefully be able to sooner recognise a general area for their own preformance.","No feedback.","2023-7-26","51","I-S","1mzNFlmmO-cBFVk2AAAH",4
"32181",1887,"58","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Other",1,3.61,0.02,6.95,10.6,"none",0,1,"A","B","B","A","Just try an do a few random clicks and then stay in the highest area","","Great game and really enjoyable, with clear instructions and good bonus payment. Thanks","2023-7-20","36","I-S","lKNPTQgbXaa_UlLZAAAv",4
"32421",1538,"35","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2,3.34,0.02,6.95,10.3,"early",4,2,"A","B","B","A","If I started near a good score I kept near it, if not, I randomly chose till I found one","For group rounds I also checked where they had found high deposits","This was fun, thanks","2023-7-26","1","S-I","k5Q0DuG1q5FFZvO1AAAf",4
"32809",1956,"39","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",19,2.78,0.05,4.75,7.6,"none",0,1,"A","B","B","B","Randomly select a square to start, and if the number is high explore the other squares nearby. Otherwise, try another random square","technical difficulties","","2023-7-19","29","S-I","GmsKfpnbjMhCW_PpAACe",2
"33299",1566,"43","Male","White","United States","United States","United States","English","No","Part-Time",1,3.61,0.02,6.95,10.6,"early",4,4,"A","B","B","A","I hunted for a high point tile the hunted around it. I would also use the group to see where they hunted.","I used the players choices to narrow down where the high point tile may be.","","2023-7-20","48","S-I","qpVMw3LrCe6dIzoWAAAH",4
"33539",3688,"29","Male","Black","Nigeria","United Kingdom","Nigeria","English","No","Unemployed (and job seeking)",0,2.78,0.02,6.95,9.8,"late",0,4,"A","A","B","A","i click on random box and i navigate through the concentration until i get high concentration. other times i use other player information.","The same strategy","None","2023-7-20","43","I-S","QD3eI_Qa77YMQmxVAAAf",4
"33944",1577,"25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",0,3.2,0.08,6.95,10.2,"none",0,2,"A","B","B","A","Find the higher numbers and surround to find the pattern","N/A","all good","2023-7-26","30","I-S","AvzVSGMfl--Qm919AAAR",1
"34394",1905,"47","Male","Black","Nigeria","United Kingdom","United Kingdom","English","No","Other",0,3.34,0.08,6.95,10.4,"early",4,4,"A","B","B","A","I generally choose one cell across various areas initially. Then I concentrate all the remaining clicks in the area with the highest salt.","I solo, I observe other peoples' choices to decide which area then I focus on the area that I consider to have the highest concentration, as mentioned in the instructions.","It is a really interesting strategy game, which mimics our ability to learn from our environment, and also on our own personal experience.
It is challenging, it is demanding at the same time.
Thank you for this very enlightening experiment. ","2023-7-26","1","S-I","WO85dEHqabQbGZpAAAAb",2
"34739",2501,"25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",0,4.73,0.06,6.95,11.7,"early",4,3,"A","B","B","A","I would at first try and cover different areas of the grid, until I found a square with 50+. Once I found a 50+ square I would focus on squares near this one trying to find the highest square in the area. Once I'd explored the area I'd settle on what I thought was the highest square in that area and stay there. If the highest square was 60+ then I was happy to keep on that square, although only if I was sure I'd searched the entire surrounding squares for anything higher. If the squares were 70+ then I'd usually be able to search for one nearby that was 80+, and once I'd found an 80+ square I usually only searched one or two neighbouring squares before settling on one.","My strategy was only slightly different on group games. I'd use my teammates squares as guidance for my initial guesses. If one of them found a 50+ square then I'd usually search in that area for my own 50+ squares. Once I'd found a high square for myself I usually followed that trail, looking for any higher squares nearby, instead of looking at my teammates squares. However I was finding, or settling on squares that were 60-69 then I'd still look at my teammates grids to see if they found any 70+ squares, in which case I would have searched that area. This only happened once so for the most part my teammates were more useful at the start of the round.","No problems, instructions were easy to follow and I was motivated to score as high as possible.","2023-7-20","45","I-S","iypqQFP3VDyFTFpMAAAT",1
"34979",1577,"18","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)",0,3.75,0.07,6.95,10.8,"consistent",4,4,"A","B","B","A","I clicked random squares until i found a salt deposit that was over 60. i then clicked the surrounding area. i also looked at other participants for help.","I focused on other participants during group rounds but still used my strategy of randomly clicking.","This study has easily been the best study ive ever participated in. I also enjoyed the ""grain of salt"" joke during the instructions.","2023-7-20","48","S-I","XcBByqvsA3BDyMhRAAAD",2
"35339",1624,"35","Male","Asian","Hong Kong","United Kingdom","United Kingdom","English","No","Full-Time",1,3.34,0.02,6.95,10.3,"early",4,3,"A","B","B","A","If i find a high yield salt field i just stay there and spam. Otherwise keep exploring. If turns are running low i stay in highest yield i discovered and spam","I observe if my groupmates hit any hot spot and explore areas close to it.","","2023-7-26","37","S-I","jg-g_xSJZXuICuTBAAAP",4
"36012",2157,"29","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",3,3.61,0.16,6.95,10.7,"none",0,2,"A","A","A","A","Well at first I rely on clicking totally random boxes to find higher number from before, if i find Box around 50+Points i just tried to find the big good cluster. ","","","2023-7-26","23","S-I","p5pwvrv-LR13s-sYAAAj",2
"36252",3305,"28","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time",0,3.61,0.15,6.95,10.7,"early",4,4,"A","A","B","B","During group games, I followed the other participants closely by choosing areas with high concentration in that planet","In solo participation, I worked based on my instincts while in group participation, I worked closely with members of my group.","","2023-7-26","54","S-I","sg4H-OYsbmRJLyaTAAA_",2
"36492",1642,"28","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2,3.48,0.14,6.95,10.6,"early",4,3,"A","B","B","A","see where the others put their square and if they get a red copy the location","","all clear ","2023-7-26","1","S-I","bS0p18rjRDxcIlFNAAAZ",1
"36732",1668,"27","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2,3.34,0.06,6.95,10.4,"early",4,4,"A","B","B","B","My strategy was to try and find one high value in the individual level and select the area around it once I had, during the multi player levels my aim was to follow the area that were high values for the other players.","I followed the other players if they had a high value area and I had not found one high enough on my own.","The questions and explanation was very clear, I enjoyed playing the game and the bonuses were a very welcome motivation.","2023-7-26","30","I-S","C3_-Ui2fQUe38XUhAAAV",3
"36972",3847,"27","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",4,3.06,0.15,6.95,10.2,"none",0,1,"A","A","A","A","corners first then explore","","","2023-7-26","28","I-S","UtfKfnT7-08Ftah6AABP",2
"37212",2238,"23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",0,3.61,0.02,6.95,10.6,"consistent",4,4,"A","B","B","A","If i had other scientists info I was using that as a basis for selection, if not random guessing","I was guessing when on my own, but once I hit a good area I stuck to it, usually over 60","No issues, good luck","2023-7-20","39","S-I","c_vOCOvMgruDv1EAAABN",4
"37452",2288,"47","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",3,3.48,0.05,6.95,10.5,"early",4,4,"A","B","B","A","When solo I would try to go to the corners and then the middle to find the highest concentration of salt","I would tend to wait for the other to place the markers first to see if any of them discovered a high concentration square and then I would put my next closest to the highest one.","N/A","2023-7-20","42","S-I","dY51zPybydMFy4UKAABD",3
"37692",1548,"38","Male","White","United States","United States","United States","English","No","Full-Time",0,4.73,0.05,6.95,11.7,"early",4,4,"A","B","B","A","I tried to find the highest yield block within a reasonable amount of days and then mine said block for the remaining days.","I paid attention to where the other scientists mined as a guide of where I should or shouldn't check, as the concentrations were somewhat corresponding.","","2023-7-20","48","S-I","lnxE_CREArIZvUOLAAAF",3
"37932",1916,"35","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",13,3.75,0.33,6.95,11,"early",4,3,"A","B","B","A","I would take my teammate's performance into consideration if I didn't have a high enough score on my sections I was searching myself","In solo rounds I searched randomly until I found a higher concentration","","2023-7-20","34","I-S","NsD17SQgwqLH_qmKAAB5",1
"38248",2210,"31","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time",2,4.59,0.02,6.95,11.6,"early",0,2,"A","B","B","A","I tried to search the grid corners to see the darker clusters while also comparing the other participants selection to get clue of the better areas","Same strategy all through","","2023-7-26","23","S-I","2pkqGGH62EJvQ_xmAAAn",4
"38579",1602,"62","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",0,3.48,0.07,6.95,10.5,"consistent",4,3,"A","B","B","A","Find the hot spot by 3-4 random searches. Look at the others","Group - let others select first and follow","worked well, good fun","2023-7-26","30","I-S","4jj3OjhyykrnKq_3AAAT",2
"39134",1848,"46","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.34,0.03,6.95,10.3,"early",4,2,"A","B","B","B","to mine crystals","i sometimes copied and searched area my teammates had a high hit in","i enjoyed this task","2023-7-20","2","S-I","m3Y3fron57lIeTNqAAAj",3
"39374",1848,"37","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.31,0.23,6.95,11.5,"early",3,3,"A","B","B","A","once i found a higher yield of salt, i would check around the area, then click the highest point most of the time.","in the team i used their positions as a guide point. in solo, i checked 4 corners and the middle then went from there. ","I really enjoyed this study. it was engaging, fun and really made you think!","2023-7-26","23","S-I","7am5duyN9TyqXszUAAAh",1
"39614",3238,"37","Male","Black","Nigeria","United States","Nigeria","English","No","Full-Time",1,2.92,0.02,6.95,9.9,"early",4,3,"A","B","B","B","My strategy involved exploration of areas that have higher yields. Once I noticed a particular sector wasn't bringing good yields, I quickly moved on to other sectors while keeping an eye on the results of the other 3 members of my team.","","Thank you.","2023-7-20","50","S-I","1ZtONBZTv4ZfLDo3AAAF",4
"39974",1836,"18","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other",4,2.92,0.13,6.95,10,"early",4,3,"A","B","B","A","Picking corners if the first square was not already a higher number indicating a higher salt chunk.","","Clear instructions, no issues at all.","2023-7-20","41","I-S","rFNIyow-gpMWXpLwAAAh",1
"40214",1900,"64","Female","White","United States","United States","United States","English","No","DATA_EXPIRED",1,3.48,0.04,6.95,10.5,"early",4,2,"B","A","A","B","To find the highest block and to click around it.","","Fun game.","2023-7-20","41","I-S","DXTKwCH7QECbz3l9AAAl",3
"40549",1746,"49","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",1,3.61,0.09,6.95,10.7,"none",0,2,"A","B","B","B","Once I found a hot spot of 60-70 just pressed squares within that area.","","","2023-7-20","36","I-S","JSlu9pkB1erbm6V7AAAt",3
"40789",1707,"57","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.61,0.2,6.95,10.8,"consistent",1,4,"A","B","B","B","Find a high value square by guess or information from mine or others fields, move out from that squate","Use other's guesses to find high value area","","2023-7-26","37","S-I","Tfe16jTSJaGbqCOPAAAJ",1
"41029",1829,"45","Male","White","Canada","Canada","Canada","English","No","Full-Time",14,3.61,0.02,6.95,10.6,"consistent",3,4,"A","B","B","B","Random guesses until i found a value 55 or higher.  then i explored that area","in group sessions i looked to where others  were finding high amounts.","","2023-7-20","41","I-S","Ijey1bmdvNZ0rAbfAAAn",4
"41485",3202,"40","Female","White","Australia","Australia","Australia","English","Yes","Part-Time",1,2.92,0.02,6.95,9.9,"consistent",1,4,"A","B","B","B","If I found a high number I just tried to click the squares around it. Also I clicked the squares that corresponded to the high number squares picked by the other team members.","Solo rounds were more random. I clicked in random spots to find the high numbers. In group rounds I immediately checked the other group members to see where their high numbers were. ","yes the bonus payment was motivating. No issues, thanks.","2023-7-26","54","S-I","GfndS9y20gfh-yhOAABD",4
"41725",1346,"52","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.31,0.14,6.95,11.4,"early",4,2,"A","B","B","B","realised a lot of hot spots were near the edges of the map","Less clicking on same node in group rounds","Really good survey, really enjoyed it, very interesting thankyou","2023-7-20","19","S-I","6yCwbeO3b__gkeQOAABh",1
