"","Age","Sex","Ethnicity.simplified","Time.taken","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","totalEarning","bonus_for_waiting","completionFee","totalPayment","soc","bias","useful","pQ1","pQ2","pQ3","pQ4","strategy","feedback"
"14291","30","Male","White",1213,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.64,0.02,4.75,7.4,"early",4,2,"B","A","B","B","In the beginning I was trying to find patterns form the other players. There were a few rounds however where I started with high concentrations and stuck with that area but after a while i started clicking around to see how i'd fare. ","It was really fu! The bonus was motivating for sure. "
"14411","43","Female","White",1239,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.78,0.03,4.75,7.6,"none",0,1,"A","A","A","A","clicking around the higher numbers",""
"14531","26","Male","Black",1956,"Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time",2.5,0.1,4.75,7.4,"early",4,3,"B","A","B","B","I predict the regions with high concentration to gather the samples","All the instructions were clear."
"14651","28","Female","White",1091,"Bosnia and Herzegovina","United Kingdom","Luxembourg","English","Yes","Other",3.75,0.16,4.75,8.7,"early",4,2,"A","B","B","B","I was looking at the highest number I could get, and would click the squares around it to see if they were an increase or decrease.",""
"14870","28","Male","Asian",911,"Malaysia","United States","Malaysia","English","No","Full-Time",2.36,0.02,4.75,7.1,"early",4,2,"A","B","B","B","Randomly guess and pick a spot, if the selected value is low, I pick another spot that is far away from the low value grid. Once I found a higher point grid, I choose those grids around it.","All good, it was a fun exercise"
"14990","52","Female","White",1203,"Argentina","United Kingdom","United Kingdom","English","No","Part-Time",2.92,0.02,4.75,7.7,"none",0,1,"B","A","A","B","To find the highest concentration of salts in each alien ocean",""
"15110","32","Female","Black",1444,"South Africa","United Kingdom","South Africa","English","No","Full-Time",2.22,0.12,4.75,7.1,"early",4,2,"A","B","B","B","Find the regions with the high concentrations of salt. Hotspots tend to be close together",""
"15230","34","Female","Black",3717,"DATA_EXPIRED","United States","United States","English","DATA_EXPIRED","Full-Time",0,0.02,0,0,"early",2,3,"A","A","A","A","Basically staying in the same area as before which was right in the center",""
"15350","28","Female","Asian",1631,"Vietnam","United Kingdom","Vietnam","Vietnamese","No","Full-Time",3.34,0.02,4.75,8.1,"none",0,2,"A","B","B","B","Find a high concentration point and collect surrounding area","the game is fun"
"15470","29","Female","Asian",1990,"Sri Lanka","United Kingdom","Sri Lanka","English","Yes","DATA_EXPIRED",2.64,0.34,4.75,7.7,"consistent",4,3,"A","B","B","B","",""
"15590","47","Female","Other",1268,"Brazil","United Kingdom","Brazil","Portuguese","No","Other",3.06,0.06,4.75,7.9,"none",0,1,"B","A","B","B","Start by just trying to find the clusters of highest concentration and explore the area.",""
"15710","28","Male","Asian",1064,"India","United Kingdom","India","English","No","Full-Time",2.36,0.08,4.75,7.2,"early",3,2,"B","B","A","B","Corners or random and then diagonal positioning to find change in salt values",""
"15830","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED",NA,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED",1.95,0.02,4.75,6.7,"none",0,2,"B","A","A","B","random selection of one area and continue around if the yield is high ","N/A"
"15950","24","Female","White",1254,"Portugal","United Kingdom","Portugal","Portuguese","No","Full-Time",3.34,0.06,4.75,8.2,"early",4,2,"A","A","A","B","If the starting salt cluster number was small I would try to go a little bit further from it to find the high concentration area. I would usually move down a line or along a line depending on whether the salt count was increasing or not, then if I found the numbers to be decreasing I would go in another direction around a high number","I found it a little confusing at first but got the hang of it quickly"
"16070","33","Female","White",1002,"United Kingdom","United Kingdom","United Kingdom","English","No","Due to start a new job within the next month",3.61,0.02,4.75,8.4,"late",1,2,"B","B","B","B","Choosing random area until numbers over 60 appear. stick to same square if over 70","all very clear"
"16190","29","Female","White",958,"Australia","United Kingdom","Australia","English","No","Due to start a new job within the next month",2.92,0.08,4.75,7.8,"late",1,2,"A","B","B","B","I started randomly and if saw a 50+ would explore the surrounding areas. ","Instructions were super clear, no issues at all, very fun to play also! "
"16310","27","Female","Asian",1152,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.34,0.22,4.75,8.3,"consistent",4,2,"A","A","A","B","I stayed around the areas that had the highest concentration and circle around those essentially. When the yield was getting lower, I tried to look for new locations.",""
"16430","32","Male","Black",1912,"Nigeria","United Kingdom","Nigeria","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED",2.36,0.21,4.75,7.3,"none",0,1,"A","B","B","B","Using the available shaded box I was able to guess where we might have a higher concentration",""
"16550","30","Female","Asian",2143,"United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",3.06,0.02,4.75,7.8,"late",4,2,"B","B","A","A","Try and find a high area and then search nearby",""
"16670","40","Female","Asian",1313,"China","United Kingdom","United Kingdom","Chinese","No","DATA_EXPIRED",2.92,0.02,4.75,7.7,"none",0,1,"B","B","B","B","Try around first and then stick to the most potential spots. Observe others and see what are the possible spots.",""
"16790","27","Female","White",1303,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.92,0.44,4.75,8.1,"none",0,3,"B","B","B","B","Exploring around until I found a cluster around 50/60 and then clicking around that localised area",""
"16910","33","Female","White",978,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.36,0.02,4.75,7.1,"none",0,2,"A","B","B","B","Finding higher numbers and clicking on the squares around it","That was really fun!"
"17030","37","Prefer not to say","White",992,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.06,0.11,4.75,7.9,"early",4,2,"B","B","B","B","To find a decent enough seam of salt - somewhere around 60 to 70 ideally, and to just mine that to build as big a bonus as possible.","Loved it."
"17150","50","Female","White",1228,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.5,0.02,4.75,7.3,"late",4,2,"A","A","A","B","To click around the screen until I found a score of 55+ and then to focus on that area. I also kept an eye on the other people to see where they were going.","Very interesting study."
"17270","38","Female","White",1023,"United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",2.5,0.04,4.75,7.3,"none",0,3,"B","A","B","B","FIND HIGHER NUMBERS AND THEN SCAN THE AREA AROUND IT TO INCREASE",""
"17391","26","Male","Black",1674,"United States","United States","United States","English","Yes","Part-Time",2.36,0.05,4.75,7.2,"consistent",4,3,"B","A","A","B","Identify hotspots and stick with it. ","Everything was smooth"
"17511","21","Female","Asian",1784,"Vietnam","United Kingdom","United Kingdom","Vietnamese","DATA_EXPIRED","Unemployed (and job seeking)",2.09,0.07,4.75,6.9,"early",4,3,"A","B","B","B","I randomise my locations, I tend to go to the opposite direction of the box i ticked. After 4/5 turns. I tick the boxes near the darkest box available. ","none"
"17631","38","Female","White",1244,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.09,0.04,4.75,6.9,"early",1,2,"A","B","B","B","Use the other players' boards to guess where high concentrated salt was then focus search on that area once detected. ","I found the instructions a little confusing at first, and the check up questions didn't match the wording used in the instructions. After the first round I understood what to do so maybe a practice go would have been helpful."
"17751","44","Male","White",1362,"United States","United States","United States","English","No","Full-Time",1.81,0.03,4.75,6.6,"none",0,1,"B","B","B","B","If I found a high number i branched out from there staying close to the high number if it was low I usually went to the opposite quadrant ",""
"17871","28","Male","White",1556,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.36,0.11,4.75,7.2,"late",4,2,"A","B","B","B","Remember the previous highest scoring locations whilst keeping in mind that exploring different locations may be beneficial.","It was a very enjoyable survey, instructions were clear and of course the bonus payment was motivating !"
"17991","31","Prefer not to say","Other",1524,"United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",3.06,0.11,4.75,7.9,"early",4,3,"A","B","B","B","choose slots where fellow scientists have found high concentrations if not go in random empty spots not close to my other low concentration areas ","all great! "
"18111","19","Female","Other",1097,"United States","United States","United States","English","Yes","DATA_EXPIRED",2.64,0.02,4.75,7.4,"early",4,2,"A","B","A","B","When I would get a higher number I would continue to search in that area to find even bigger number. If I got a low number I would not continue to search in that spot. 
I would sometimes look at the others screens and see if my high salt was in a similar spot and sometimes it was. ","I think the instructions should be more clear cause I was confused in the beginning but I understood as it went on. :)"
"18231","19","Female","Black",2952,"United Kingdom","United Kingdom","DATA_EXPIRED","English","Yes","Part-Time",2.22,0.14,4.75,7.1,"late",4,3,"A","B","B","B","I relied on mostly other scientist in my group, my intuition, and the outcome of the previous selection","The instructions were quite clear with a bit of complexity, the bonus payment is also motivating"
"18584","55","Male","Mixed",1151,"United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",2.09,0.08,4.75,6.9,"none",0,3,"B","A","B","B","When i found i high number i went along the line","It was Enjoyable."
"18704","33","Male","White",1745,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.34,0.05,4.75,8.1,"consistent",4,4,"A","B","B","B","Trying to move diagonally and looking at the other screens to best increase chances of finding larger numbers and then moving outwards once I got over c.60","I was quite confused by the instructions and questions at the start but managed to get there by looking at them a few times"
"18824","27","Male","White",1209,"Latvia","United Kingdom","Latvia","English","Yes","Due to start a new job within the next month",2.78,0.05,4.75,7.6,"none",0,3,"A","B","A","B","Find bigger number and play around it",""
"18944","42","Female","White",841,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Part-Time",3.2,0.02,4.75,8,"consistent",4,3,"B","A","B","B","Finding a high number and keeping to that area","Really fun survey"
"19181","29","Male","White",1127,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.34,0.03,4.75,8.1,"early",3,2,"B","A","A","B","Once a cluster was found keep my picks tightknit. To find a cluster, try slightly in from the corners and then pick around the highest of the 4 corner yields.",""
"19301","25","Male","Black",1855,"Nigeria","United States","Nigeria","English","DATA_EXPIRED","Unemployed (and job seeking)",2.64,0.02,4.75,7.4,"none",0,2,"A","B","B","B","when i noticed a part has high concentration i keep picking it ",""
"19421","23","Male","White",1200,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.34,0.19,4.75,8.3,"late",4,3,"A","B","B","B","My strat was to stick with proven regions of high concentrations of salt.

I also had a look at other players catches, and tried to replicate their decision making if I couldn't find a high region myself. ","It was actually quite fun to play! :)"
"19541","28","Female","White",1137,"Japan","United Kingdom","Netherlands","English","No","Full-Time",3.34,0.05,4.75,8.1,"early",4,4,"A","B","B","B","Initially I would click on or near to whichever scientist had the highest visible salt thing. 
Then once I found a high yield for my salt I would try to click around there for a while to find other high tiles. Once or twice when I had a really high yield tile I revisited it a few times. 
If there wasn't a very appealing area on any of the 4 scientists things I would go for a random area that hadn't been uncovered by anyone and hope, and then on the next day re-adjust depending on the new places that were uncovered. ","It was fun. I was slightly confused on the first day of the first planet and just clicked on the tile that was showing the yield but then realised I could choose any tile."
"19661","48","Female","White",1124,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",1.95,0.23,4.75,6.9,"none",0,2,"B","B","B","B","I tested areas to check for concentrated areas to focus on ","The instruction were clear and it was fun to participate"
"19781","35","Male","White",1202,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.48,0.03,4.75,8.3,"none",0,1,"A","B","B","B","","It sounded a little complicated at first, but the game was easy to play.

My tactic was to ignore the other scientists, which mostly worked but maybe I could have wasted a few clicks less if I used the other scientists' data more."
"19927","27","Male","Asian",2003,"China","United Kingdom","China","Chinese","Yes","Full-Time",1.39,0.15,4.75,6.3,"none",0,2,"B","A","B","B","Following one’s own inner self.",""
"20151","19","Female","Other",1237,"United States","United States","United States","English","No","Unemployed (and job seeking)",2.78,0.04,4.75,7.6,"early",2,3,"A","A","B","B","Determining areas in which the salt may be in high concentration based on guesses made by the other ""scientists"" but not choosing the exact same place but somewhere near.","It was an interesting task to complete and it was quite fun."
"20271","48","Male","White",1371,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.5,0.02,4.75,7.3,"consistent",1,2,"A","B","B","B","I would reference the other miner's results depending upon the strength of my initial mining result. Salt B seemed to be the most similar to Salt A","Initially the study didn't launch and was being treated as malware by my system."
"20391","23","Female","White",1443,"United States","United States","United States","English","No","Unemployed (and job seeking)",3.34,0.05,4.75,8.1,"early",1,3,"A","A","B","B","Clicked in random places and when the colors were darker clicked generally around those areas. Kinda like minesweeper. ","Absolutely loved this, very engaging and fun!!!"
"20511","18","Female","White",1032,"United States","United States","United States","English","Yes","Part-Time",2.92,0.02,4.75,7.7,"consistent",4,2,"A","B","B","B","I didnt have much, i knew that there was higher output in clusters so i stayed around an area i could find with higher numbers.","I think instructions were slightly unclear, it took me a minute to understand how to use the other scientist research and i think better examples of the charts could have been made/given. Overall it was very engaging though. "
"20631","25","Male","Black",2773,"Congo the Democratic Republic of the","United States","Congo the Democratic Republic of the","English","Yes","Part-Time",2.5,0.26,4.75,7.5,"none",0,2,"A","B","B","A","the strategy was based on the tile already present at the start of the game, I used it as a clue","nothing, all's good"
"20751","32","Female","White",1162,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Other",2.22,0.05,4.75,7,"early",4,1,"B","A","A","B","Tried to work out what the number range was for a higher concentration. This took a few rounds. I decided that if the number was 40+ I would click the boxes around that square. If it was lower than 40 I looked at the other players' grids (although, I didn't have time to realise patterns) or clicked a box further away from the area I had been clicking in.","Fun game, I would play again. The bonuses were motivation to click as many boxes as possible per round. Thanks!"
"20871","37","Male","White",925,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",3.06,0.08,4.75,7.9,"none",0,1,"A","B","B","B","Find a high salt level square (60 or higher), then choose squares around it",""
"20991","29","Male","White",1020,"United States","United States","United States","English","No","Full-Time",2.92,0.02,4.75,7.7,"early",4,2,"A","A","B","B","i noticed that often times higher numbers would be almost directly opposite numbers, which is to say when i had a low number on the board i would attempt to scan areas on the opposite side of the board.",""
